Epoch: [29][1820/2689], lr: 0.00001	Time 5.764 (5.261)	Data 5.425 (4.922)	Loss 1.6468 (1.9830)	Prec@1 62.500 (49.085)	Prec@5 81.250 (76.948)
Epoch: [29][1840/2689], lr: 0.00001	Time 5.790 (5.269)	Data 5.465 (4.929)	Loss 2.0159 (1.9823)	Prec@1 53.125 (49.128)	Prec@5 78.125 (76.979)
Epoch: [29][1860/2689], lr: 0.00001	Time 5.541 (5.272)	Data 5.215 (4.933)	Loss 2.1056 (1.9827)	Prec@1 46.875 (49.117)	Prec@5 71.875 (76.968)
Epoch: [29][1880/2689], lr: 0.00001	Time 5.438 (5.277)	Data 5.116 (4.938)	Loss 1.8599 (1.9839)	Prec@1 62.500 (49.110)	Prec@5 78.125 (76.949)
Epoch: [29][1900/2689], lr: 0.00001	Time 5.212 (5.280)	Data 4.882 (4.940)	Loss 1.8965 (1.9836)	Prec@1 46.875 (49.111)	Prec@5 84.375 (76.950)
Epoch: [29][1920/2689], lr: 0.00001	Time 5.497 (5.285)	Data 5.158 (4.946)	Loss 2.3831 (1.9837)	Prec@1 37.500 (49.099)	Prec@5 68.750 (76.947)
Epoch: [29][1940/2689], lr: 0.00001	Time 5.157 (5.290)	Data 4.838 (4.952)	Loss 2.1716 (1.9837)	Prec@1 43.750 (49.118)	Prec@5 68.750 (76.938)
Epoch: [29][1960/2689], lr: 0.00001	Time 5.593 (5.296)	Data 5.262 (4.957)	Loss 1.7603 (1.9836)	Prec@1 53.125 (49.103)	Prec@5 87.500 (76.928)
Epoch: [29][1980/2689], lr: 0.00001	Time 5.741 (5.301)	Data 5.411 (4.962)	Loss 1.8935 (1.9833)	Prec@1 50.000 (49.121)	Prec@5 87.500 (76.936)
Epoch: [29][2000/2689], lr: 0.00001	Time 5.279 (5.306)	Data 4.945 (4.967)	Loss 1.8613 (1.9831)	Prec@1 56.250 (49.125)	Prec@5 75.000 (76.935)
Epoch: [29][2020/2689], lr: 0.00001	Time 5.330 (5.311)	Data 5.006 (4.972)	Loss 1.5558 (1.9828)	Prec@1 50.000 (49.137)	Prec@5 84.375 (76.913)
Epoch: [29][2040/2689], lr: 0.00001	Time 5.438 (5.314)	Data 5.110 (4.976)	Loss 2.0950 (1.9841)	Prec@1 46.875 (49.109)	Prec@5 78.125 (76.885)
Epoch: [29][2060/2689], lr: 0.00001	Time 5.436 (5.319)	Data 5.116 (4.981)	Loss 1.9297 (1.9839)	Prec@1 40.625 (49.098)	Prec@5 90.625 (76.898)
