Epoch: [1][840/1345], lr: 0.00100	Time 1.485 (1.661)	Data 1.263 (1.438)	Loss 4.1678 (4.2839)	Prec@1 12.500 (10.356)	Prec@5 29.688 (28.114)
Epoch: [1][860/1345], lr: 0.00100	Time 1.931 (1.660)	Data 1.705 (1.438)	Loss 4.0333 (4.2814)	Prec@1 15.625 (10.393)	Prec@5 35.938 (28.159)
Epoch: [1][880/1345], lr: 0.00100	Time 1.698 (1.661)	Data 1.477 (1.438)	Loss 4.1706 (4.2796)	Prec@1 17.188 (10.420)	Prec@5 35.938 (28.169)
Epoch: [1][900/1345], lr: 0.00100	Time 1.674 (1.662)	Data 1.449 (1.439)	Loss 4.5193 (4.2788)	Prec@1 10.938 (10.433)	Prec@5 23.438 (28.174)
Epoch: [1][920/1345], lr: 0.00100	Time 1.871 (1.661)	Data 1.646 (1.439)	Loss 4.3999 (4.2747)	Prec@1 12.500 (10.501)	Prec@5 21.875 (28.281)
Epoch: [1][940/1345], lr: 0.00100	Time 1.583 (1.661)	Data 1.367 (1.439)	Loss 4.1799 (4.2724)	Prec@1 10.938 (10.539)	Prec@5 28.125 (28.328)
Epoch: [1][960/1345], lr: 0.00100	Time 1.778 (1.662)	Data 1.562 (1.439)	Loss 3.8406 (4.2703)	Prec@1 10.938 (10.526)	Prec@5 35.938 (28.390)
Epoch: [1][980/1345], lr: 0.00100	Time 1.496 (1.661)	Data 1.280 (1.438)	Loss 4.0246 (4.2676)	Prec@1 15.625 (10.584)	Prec@5 28.125 (28.434)
Epoch: [1][1000/1345], lr: 0.00100	Time 1.745 (1.661)	Data 1.523 (1.439)	Loss 3.9752 (4.2645)	Prec@1 14.062 (10.619)	Prec@5 29.688 (28.487)
Epoch: [1][1020/1345], lr: 0.00100	Time 1.443 (1.661)	Data 1.220 (1.438)	Loss 4.3064 (4.2622)	Prec@1 14.062 (10.636)	Prec@5 23.438 (28.532)
